,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
366,Rabo de Peixe,75,PT,1580248254,93,37.8,-25.58,18.0,10.3
367,Raghunathpur,75,IN,1580248255,93,23.55,86.67,17.0,2.1
368,Tineo,75,ES,1580248256,87,43.34,-6.41,11.67,2.1
369,Jati,0,PK,1580248257,50,24.35,68.27,13.86,3.54
370,Teahupoo,75,PF,1580248258,66,-17.83,-149.27,31.0,5.1
371,Rome,90,US,1580248109,74,43.21,-75.46,-1.0,4.1
372,Cassilandia,4,BR,1580248260,64,-19.11,-51.73,28.53,1.84
373,Ulladulla,40,AU,1580248035,83,-35.35,150.47,21.67,6.2
374,Katherine,81,AU,1580248262,88,-14.47,132.27,24.0,3.1
375,Makakilo City,1,US,1580248263,64,21.35,-158.09,26.11,1.5
376,San Quintin,0,MX,1580248264,66,30.48,-115.95,17.89,6.25
377,Payo,100,ID,1580248265,97,-3.75,103.64,20.94,1.22
378,Santa Cruz Cabralia,40,BR,1580248266,83,-16.28,-39.02,27.0,3.1
379,Kamiiso,75,JP,1580248268,86,41.82,140.65,3.0,6.2
380,Bereznik,100,RU,1580248269,89,62.86,42.71,-15.11,3.35
381,Anju,100,KP,1580248270,78,39.62,125.66,0.06,2.09
382,Riohacha,40,CO,1580248271,74,11.54,-72.91,28.0,6.7
383,San Jose,75,US,1580248114,67,37.34,-121.89,17.22,6.2
384,Izhma,88,RU,1580248273,99,65.01,53.91,-25.08,1.96
385,Pangkalanbuun,100,ID,1580248274,97,-2.68,111.62,23.43,0.21
386,Vila Franca do Campo,75,PT,1580248275,93,37.72,-25.43,18.0,10.3
387,Narsaq,15,GL,1580248276,66,60.92,-46.05,-9.0,1.31
388,Williamsport,90,US,1580248277,74,41.24,-77.0,4.0,3.6
389,Bandrele,38,YT,1580248278,88,-12.91,45.19,28.0,3.1
390,Sibolga,100,ID,1580248279,99,1.74,98.78,21.92,0.99
391,Iquique,0,CL,1580248150,57,-20.22,-70.14,26.0,7.7
392,Bayji,99,IQ,1580248281,48,34.93,43.49,10.36,2.55
393,Vidim,100,RU,1580248283,94,56.41,103.11,-13.22,1.74
394,Pachino,20,IT,1580248284,93,36.72,15.09,12.78,1.5
395,Svirstroy,100,RU,1580248285,86,60.8,33.72,-5.87,2.99
396,Soyo,85,AO,1580248286,82,-6.13,12.37,27.26,2.25
397,Soto la Marina,10,MX,1580248287,43,23.77,-98.22,27.54,6.49
398,Takoradze,40,GH,1580248288,80,4.88,-1.76,26.35,1.18
399,Marystown,100,CA,1580248289,97,47.17,-55.15,-0.62,6.44
400,Agua Verde,5,MX,1580248290,57,22.9,-106.05,26.0,5.1
401,Shalyhyne,100,UA,1580248291,86,51.57,34.12,0.31,3.69
402,Straumen,100,NO,1580248292,74,63.87,11.3,1.11,4.6
403,Kasempa,93,ZM,1580248294,93,-13.46,25.83,18.61,2.04
404,Novoagansk,95,RU,1580248295,96,61.94,76.66,-22.61,5.04
405,Bremgarten,75,CH,1580248296,81,47.35,8.34,7.0,3.1
406,Grants Pass,90,US,1580248260,66,42.44,-123.33,12.0,2.87
407,Okhotsk,0,RU,1580248299,66,59.38,143.3,-24.96,4.58
408,Yumen,0,CN,1580248300,45,40.28,97.2,-6.97,2.8
409,Kahului,20,US,1580248273,54,20.89,-156.47,27.0,2.1
410,Tornio,90,FI,1580248302,85,65.85,24.13,-8.0,4.1
411,Coyhaique,75,CL,1580248303,66,-45.58,-72.07,14.0,2.1
412,Cayenne,75,GF,1580248076,78,4.93,-52.33,28.0,5.1
413,Zhuhai,20,CN,1580248307,66,22.28,113.57,12.0,11.3
414,Carballo,75,ES,1580248308,100,43.21,-8.69,12.78,2.1
415,Sur,0,OM,1580248309,45,22.57,59.53,17.8,5.79
416,Masuguru,100,TZ,1580248310,96,-11.37,38.42,23.33,1.19
417,Riverton,90,US,1580248311,80,40.52,-111.94,8.0,5.1
418,Bobrovka,0,RU,1580248313,87,54.05,61.75,-21.76,2.74
419,Marzuq,0,YE,1580248315,33,14.4,46.47,12.34,0.86
420,Angoche,100,MZ,1580248316,98,-16.23,39.91,23.12,1.84
421,Maturin,29,VE,1580248317,63,9.75,-63.18,29.74,3.35
422,Skjervoy,20,NO,1580248318,62,70.03,20.97,-4.0,14.9
423,Arrondissement du Havre,88,FR,1580248319,80,49.58,0.33,5.0,6.7
424,Ambulu,100,ID,1580248320,81,-8.35,113.61,27.33,2.43
425,Departamento de Maldonado,0,UY,1580248321,44,-34.67,-54.92,27.0,4.1
426,Maningrida,100,AU,1580248323,82,-12.07,134.27,28.91,4.93
427,Karlovac,100,HR,1580248324,86,45.49,15.55,6.67,6.2
428,Jumla,100,NP,1580248325,82,29.27,82.18,-3.47,1.32
429,Assiut,0,EG,1580248078,44,27.18,31.18,11.25,4.22
430,Touros,40,BR,1580248327,74,-5.2,-35.46,29.0,5.7
431,Lompoc,1,US,1580248063,34,34.64,-120.46,23.33,5.7
432,Waingapu,44,ID,1580248329,74,-9.66,120.26,28.56,4.34
433,Lata,40,PT,1580248243,87,40.16,-8.33,15.56,3.1
434,Fangshan,73,CN,1580248331,79,39.7,115.99,2.78,2.0
435,Srivardhan,20,IN,1580248333,81,18.03,73.02,20.86,2.6
436,Bella Vista,90,US,1580248334,100,36.43,-94.23,8.0,4.1
437,Baft,0,IR,1580248335,49,29.23,56.61,-0.21,1.65
438,Kaniama,100,CD,1580248336,94,-7.57,24.18,19.58,1.1
439,Zaton,75,RU,1580248337,79,53.29,83.81,-4.0,6.0
440,Marsh Harbour,65,BS,1580248338,72,26.54,-77.06,22.42,6.0
441,Poum,100,NC,1580248339,79,-20.23,164.02,26.39,6.74
442,Carutapera,3,BR,1580248340,82,-1.2,-46.02,27.71,7.58
443,Andilamena,89,MG,1580248341,97,-17.02,48.58,19.5,1.86
444,Katsuura,75,JP,1580248343,93,35.13,140.3,11.0,6.2
445,Lodja,88,CD,1580248344,81,-3.48,23.43,23.41,1.91
446,Pandan,23,PH,1580248345,78,14.05,124.17,25.93,1.42
447,Victor Harbor,0,AU,1580248346,56,-35.57,138.62,24.44,1.0
448,Caravelas,100,BR,1580248347,85,-17.71,-39.25,26.94,5.71
449,Batagay,10,RU,1580248349,74,67.63,134.63,-35.74,1.73
450,Collierville,1,US,1580248350,70,35.04,-89.66,14.0,3.1
451,Ola,99,RU,1580248351,97,59.58,151.28,-13.76,0.95
452,Fonte Boa,100,BR,1580248352,90,-2.5,-66.27,23.32,0.69
453,Conselheiro Pena,100,BR,1580248353,92,-19.17,-41.47,24.17,0.69
454,Boissy-Saint-Leger,84,FR,1580248354,80,48.75,2.52,5.56,6.7
455,Salinas,90,US,1580248355,59,36.68,-121.66,17.22,3.08
456,Totma,100,RU,1580248356,85,59.97,42.76,-13.39,3.18
457,Grand Island,90,US,1580248357,80,40.92,-98.34,1.11,1.5
458,Matelica,75,IT,1580248358,87,43.25,13.01,16.11,4.6
459,La Ronge,90,CA,1580248336,85,55.1,-105.28,-6.0,2.6
460,Wahpeton,100,US,1580248272,85,46.27,-96.61,-10.0,1.5
461,Tigil,27,RU,1580248361,78,57.8,158.67,-12.28,3.1
462,Santo Andre,75,BR,1580248362,83,-23.66,-46.54,27.22,7.7
463,Atar,0,MR,1580248364,16,20.52,-13.05,25.16,5.11
464,Cacu,19,BR,1580248365,74,-18.56,-51.13,27.67,1.47
465,Anaconda,90,US,1580248366,59,46.13,-112.94,3.0,1.5
466,La Palma,40,US,1580248368,33,33.85,-118.05,24.44,1.74
467,Himare,75,AL,1580248369,87,40.1,19.74,13.0,2.1
468,Waitati,84,NZ,1580248370,68,-45.75,170.57,19.44,2.0
469,Huejuquilla el Alto,0,MX,1580248371,19,22.6,-103.87,21.02,1.39
470,Labuan,75,MY,1580248372,83,5.28,115.24,28.0,4.1
471,Dzaoudzi,23,YT,1580248373,88,-12.79,45.27,28.0,3.1
472,Mbanza-Ngungu,91,CD,1580248374,91,-5.25,14.87,21.76,0.72
473,Kandi,67,BJ,1580248375,8,11.13,2.94,23.89,2.31
474,Kjollefjord,5,NO,1580248376,72,70.95,27.35,-8.0,7.2
475,Kirakira,100,SB,1580248377,80,-10.45,161.92,27.17,0.84
476,Lorengau,46,PG,1580248378,80,-2.02,147.27,28.23,4.57
477,Farah,0,AF,1580248380,68,32.5,62.5,3.05,1.19
478,Simao,0,CN,1580248381,71,22.79,100.97,5.64,0.35
479,Kumluca,6,TR,1580248382,74,36.37,30.29,7.72,1.46
480,Whitehorse,75,CA,1580248383,92,60.72,-135.05,-6.67,1.0
481,Viseu,96,PT,1580248384,98,40.66,-7.91,16.11,3.13
482,Berezovyy,100,RU,1580248385,97,51.67,135.7,-14.74,0.37
483,Kondinskoye,68,RU,1580248386,96,59.65,67.41,-26.03,3.52
484,Ipora,55,BR,1580248387,88,-16.44,-51.12,24.12,3.99
485,Hatillo,1,PR,1580248388,72,18.49,-66.83,27.22,3.1
486,Leeuwarden,75,NL,1580248247,75,53.2,5.81,7.0,9.8
487,Nalut,5,LY,1580248391,49,30.33,10.85,13.35,4.87
488,Hay River,90,CA,1580248157,84,60.82,-115.8,-18.0,4.1
489,Along,0,IN,1580248393,86,28.17,94.77,6.65,1.95
490,Bela,0,IN,1580248394,85,25.93,81.98,14.04,3.2
491,Havelock,40,US,1580248276,40,34.88,-76.9,12.22,5.1
492,Ondjiva,85,AO,1580248397,59,-17.07,15.73,24.46,2.53
493,Biak,31,ID,1580248398,79,-0.91,122.88,27.35,2.1
494,Charagua,75,BO,1580248401,61,-19.8,-63.22,28.0,3.99
495,Waynesville,1,US,1580248402,42,35.49,-82.99,11.67,1.5
496,Isla Vista,1,US,1580248403,34,34.41,-119.86,23.33,5.7
497,Celestun,0,MX,1580248404,77,20.87,-90.4,24.07,3.27
498,Nanakuli,1,US,1580248406,64,21.39,-158.15,26.11,1.5
499,Itaituba,20,BR,1580248407,62,-4.28,-55.98,32.0,1.0
500,Krasnoarmeysk,100,RU,1580248408,96,51.02,45.7,-4.44,2.68
501,Zhangye,0,CN,1580248409,27,38.93,100.45,-5.15,1.81
502,Dharchula,99,IN,1580248410,98,29.85,80.53,-2.9,0.79
503,Xichang,100,CN,1580248412,92,27.9,102.26,-4.42,1.65
504,Bam,0,IR,1580248413,43,29.11,58.36,7.38,0.66
505,Aykhal,100,RU,1580248414,95,66.0,111.5,-18.62,4.33
506,Serafimovich,100,RU,1580248415,94,49.58,42.74,1.67,0.89
507,Kyren,0,RU,1580248416,68,51.68,102.14,-14.1,5.34
508,Talcahuano,80,CL,1580248417,52,-36.72,-73.12,21.0,9.3
509,Merauke,68,ID,1580248418,92,-8.47,140.33,24.84,2.18
510,Chengzhong,0,CN,1580248419,75,30.95,113.55,1.0,1.0
511,Port Keats,88,AU,1580248420,83,-14.25,129.55,29.26,7.38
512,Lokoja,0,NG,1580248421,14,7.8,6.74,26.96,1.2
513,Hvide Sande,93,DK,1580248422,86,56.0,8.13,5.56,6.2
514,Hambantota,20,LK,1580248423,100,6.12,81.12,22.0,1.5
515,Swan River,100,CA,1580248424,97,52.11,-101.27,-8.43,1.77
516,Uvalde,1,US,1580248425,32,29.37,-99.77,22.0,12.3
517,Itum-Kali,98,RU,1580248426,92,42.74,45.58,-10.12,3.62
518,Bolnisi,100,GE,1580248428,59,41.45,44.54,1.0,2.1
519,Dunedin,84,NZ,1580248429,68,-45.87,170.5,19.44,2.0
520,Quatre Cocos,20,MU,1580248430,88,-20.21,57.76,22.22,2.1
521,Barranca,0,PE,1580248431,87,-10.75,-77.77,22.7,4.33
522,Ust-Nera,58,RU,1580248432,100,64.57,143.2,-43.45,1.14
523,Dongli,0,CN,1580248433,65,23.57,116.82,8.0,2.0
524,Luba,20,GQ,1580248434,88,3.46,8.55,27.0,2.1
525,Kutum,31,SD,1580248435,17,14.2,24.67,10.77,2.29
526,Olenegorsk,0,RU,1580248436,94,68.15,33.3,-20.7,1.03
527,Conde,84,BR,1580248437,74,-7.26,-34.91,28.0,5.1
528,Saquena,0,PE,1580248438,39,-4.67,-73.52,34.69,2.5
529,Benghazi,0,LY,1580248439,63,32.12,20.07,15.63,3.18
530,Fare,81,PF,1580248440,77,-16.7,-151.02,28.16,5.92
531,Damnoen Saduak,0,TH,1580248441,77,13.52,99.95,22.22,2.08
532,Prince Rupert,90,CA,1580248442,93,54.32,-130.32,5.0,4.1
533,Bonthe,1,SL,1580248443,85,7.53,-12.51,26.13,2.89
534,Troitskoye,100,RU,1580248445,89,52.98,84.68,-4.42,6.33
535,Dhidhdhoo,82,MV,1580248446,69,6.88,73.1,27.39,4.86
536,San Miguel de Tucuman,20,AR,1580248252,69,-26.82,-65.22,28.0,4.1
537,Barra do Garcas,40,BR,1580248448,78,-15.89,-52.26,28.0,1.5
538,Sokolo,0,ML,1580248449,4,14.73,-6.12,24.99,4.49
539,Palekh,100,RU,1580248450,93,56.8,41.86,-9.23,4.62
540,Ancud,20,CL,1580248185,39,-41.87,-73.82,17.0,7.2
541,Tarko-Sale,100,RU,1580248452,97,64.92,77.78,-19.98,5.04
542,Paoua,0,CF,1580248453,21,7.24,16.44,21.45,1.65
543,Pilar,40,BR,1580248395,78,-9.6,-35.96,27.0,5.7
544,Nautla,10,MX,1580248457,65,20.22,-96.78,26.64,1.79
545,Springdale,90,US,1580248459,100,36.19,-94.13,7.78,4.1
546,Gonder,59,ET,1580248460,31,12.6,37.47,13.67,3.08
547,Kavadarci,75,MK,1580248462,71,41.43,22.01,6.11,1.83
548,Tual,30,ID,1580248463,78,-5.67,132.75,29.08,8.49
549,Newport,20,GB,1580248350,86,51.59,-3.0,6.11,6.7
550,Seymchan,95,RU,1580248465,94,62.88,152.43,-28.11,2.26
551,Areka,90,ET,1580248466,78,7.07,37.7,20.59,0.18
552,Kembe,0,CF,1580248467,29,4.62,21.89,21.92,0.29
553,Stornoway,2,GB,1580248468,81,58.21,-6.39,6.0,11.3
554,Faqirwali,0,PK,1580248469,89,29.47,73.03,10.0,1.96
555,Butembo,98,CD,1580248470,77,0.15,29.28,17.57,1.27
556,Talnakh,75,RU,1580248471,85,69.49,88.4,-12.0,9.0
557,Puerto Carreno,20,CO,1580248463,39,6.19,-67.49,37.0,5.1
558,Nushki,0,PK,1580248473,72,29.55,66.02,4.59,1.3
559,Harper,100,LR,1580248475,84,4.38,-7.72,26.02,1.09
560,Bocas del Toro,46,PA,1580248415,91,9.33,-82.25,20.0,3.25
561,Sidi Ali,2,DZ,1580248478,84,36.1,0.42,9.56,1.2
562,Humaita,100,BR,1580248479,95,-7.51,-63.02,26.27,0.84
563,Wawa,44,NG,1580248480,22,9.9,4.42,27.54,2.63
564,Vaitape,99,PF,1580248481,75,-16.52,-151.75,28.29,5.11
565,Santa Maria,100,BR,1580248482,62,-29.68,-53.81,29.0,4.1
